Title,Votes,Answers,Views,Views_per_day,Link 
Type converting slices of interfaces,287,9,154000,41,https://stackoverflow.com/questions/12753805/type-converting-slices-of-interfaces
What are the use(s) for struct tags in Go?,566,3,146000,37,https://stackoverflow.com/questions/10858787/what-are-the-uses-for-struct-tags-in-go
Pointers vs. values in parameters and return values,486,5,128000,40,https://stackoverflow.com/questions/23542989/pointers-vs-values-in-parameters-and-return-values
"json.Marshal(struct) returns ""{}""",171,3,48000,15,https://stackoverflow.com/questions/26327391/json-marshalstruct-returns
JSON and dealing with unexported fields,89,2,51000,13,https://stackoverflow.com/questions/11126793/json-and-dealing-with-unexported-fields
No output from goroutine,28,3,5000,1,https://stackoverflow.com/questions/28958192/no-output-from-goroutine
"Hiding nil values, understanding why Go fails here",61,3,27000,9,https://stackoverflow.com/questions/29138591/hiding-nil-values-understanding-why-go-fails-here
"What's the proper way to ""go get"" a private repository?",259,17,246000,83,https://stackoverflow.com/questions/27500861/whats-the-proper-way-to-go-get-a-private-repository
Parsing RFC-3339 / ISO-8601 date-time string in Go,242,8,365000,120,https://stackoverflow.com/questions/25845172/parsing-rfc-3339-iso-8601-date-time-string-in-go
Multiple values in single-value context,131,6,120000,41,https://stackoverflow.com/questions/28227095/multiple-values-in-single-value-context
What's the meaning of interface{}?,168,8,67000,21,https://stackoverflow.com/questions/23148812/whats-the-meaning-of-interface
X does not implement Y (... method has a pointer receiver),363,4,119000,53,https://stackoverflow.com/questions/40823315/x-does-not-implement-y-method-has-a-pointer-receiver
Are slices passed by value?,110,5,75000,33,https://stackoverflow.com/questions/39993688/are-slices-passed-by-value
How do I do a literal *int64 in Go?,181,4,116000,41,https://stackoverflow.com/questions/30716354/how-do-i-do-a-literal-int64-in-go
Change values while iterating,193,4,105000,29,https://stackoverflow.com/questions/15945030/change-values-while-iterating
How to stop a goroutine,142,8,195000,46,https://stackoverflow.com/questions/6807590/how-to-stop-a-goroutine
What does an underscore and interface name after keyword var mean?,105,2,21000,5,https://stackoverflow.com/questions/13194272/what-does-an-underscore-and-interface-name-after-keyword-var-mean
How to parse/deserialize dynamic JSON,47,4,39000,13,https://stackoverflow.com/questions/29347092/how-to-parse-deserialize-dynamic-json
Is this an idiomatic worker thread pool in Go?,19,2,6000,2,https://stackoverflow.com/questions/38170852/is-this-an-idiomatic-worker-thread-pool-in-go
How to use global var across files in a package?,50,3,66000,25,https://stackoverflow.com/questions/34195360/how-to-use-global-var-across-files-in-a-package
Value receiver vs. pointer receiver,216,3,58000,19,https://stackoverflow.com/questions/27775376/value-receiver-vs-pointer-receiver
Format a Go string without printing?,523,8,336000,87,https://stackoverflow.com/questions/11123865/format-a-go-string-without-printing
How to pipe several commands in Go?,97,8,66000,17,https://stackoverflow.com/questions/10781516/how-to-pipe-several-commands-in-go
cancel a blocking operation in Go,5,2,4000,1,https://stackoverflow.com/questions/28240133/cancel-a-blocking-operation-in-go
How to use C++ in Go,208,12,148000,30,https://stackoverflow.com/questions/1713214/how-to-use-c-in-go
slice of struct != slice of interface it implements?,85,6,45000,12,https://stackoverflow.com/questions/12994679/slice-of-struct-slice-of-interface-it-implements
"How to use a module that is outside of ""GOPATH"" in another module?",40,2,29000,18,https://stackoverflow.com/questions/52328952/how-to-use-a-module-that-is-outside-of-gopath-in-another-module
Creating a Constant Type and Restricting the Type's Values,38,2,29000,12,https://stackoverflow.com/questions/37385007/creating-a-constant-type-and-restricting-the-types-values
Call functions with special prefix/suffix,18,2,4000,1,https://stackoverflow.com/questions/37384473/call-functions-with-special-prefix-suffix
Explain Type Assertions in Go,53,3,23000,9,https://stackoverflow.com/questions/38816843/explain-type-assertions-in-go
How to initialize a nested struct?,191,9,212000,68,https://stackoverflow.com/questions/24809235/how-to-initialize-a-nested-struct
What does go build build? (go build vs. go install),157,2,108000,39,https://stackoverflow.com/questions/30612611/what-does-go-build-build-go-build-vs-go-install
How can I access a struct field with generics (type T has no field or method)?,9,1,4000,10,https://stackoverflow.com/questions/70358216/how-can-i-access-a-struct-field-with-generics-type-t-has-no-field-or-method
Decoding generic JSON objects to one of many formats,5,1,7000,2,https://stackoverflow.com/questions/28033277/decoding-generic-json-objects-to-one-of-many-formats
What's the best way to bundle static resources in a Go program?,133,5,53000,14,https://stackoverflow.com/questions/13904441/whats-the-best-way-to-bundle-static-resources-in-a-go-program
Cannot convert []string to []interface {},114,7,65000,17,https://stackoverflow.com/questions/12990338/cannot-convert-string-to-interface
"Unmarshal JSON with some known, and some unknown field names",105,8,84000,32,https://stackoverflow.com/questions/33436730/unmarshal-json-with-some-known-and-some-unknown-field-names
Golang Round to Nearest 0.05,35,1,38000,16,https://stackoverflow.com/questions/39544571/golang-round-to-nearest-0-05
Return map like 'ok' in Golang on normal functions,35,2,16000,5,https://stackoverflow.com/questions/28487036/return-map-like-ok-in-golang-on-normal-functions
how to reference a relative file from code and tests,19,3,7000,2,https://stackoverflow.com/questions/31059023/how-to-reference-a-relative-file-from-code-and-tests
"It takes too much time when using ""template"" package to generate a dynamic web page to client in Golang",8,1,3000,1,https://stackoverflow.com/questions/28451675/it-takes-too-much-time-when-using-template-package-to-generate-a-dynamic-web-p
What is an idiomatic way of representing enums in Go?,728,14,488000,134,https://stackoverflow.com/questions/14426366/what-is-an-idiomatic-way-of-representing-enums-in-go
Reading a file line by line in Go,512,13,506000,126,https://stackoverflow.com/questions/8757389/reading-a-file-line-by-line-in-go
"How to avoid annoying error ""declared and not used""",411,8,179000,55,https://stackoverflow.com/questions/21743841/how-to-avoid-annoying-error-declared-and-not-used
How to dump goroutine stacktraces?,130,10,126000,37,https://stackoverflow.com/questions/19094099/how-to-dump-goroutine-stacktraces
is there a way to create an instance of a struct from a string?,69,3,41000,12,https://stackoverflow.com/questions/23030884/is-there-a-way-to-create-an-instance-of-a-struct-from-a-string
json.Unmarshal returning blank structure,26,1,18000,6,https://stackoverflow.com/questions/28228393/json-unmarshal-returning-blank-structure
How to iterate maps in insertion order?,22,2,19000,6,https://stackoverflow.com/questions/28930416/how-to-iterate-maps-in-insertion-order
Is it safe to read a function pointer concurrently without a lock?,12,3,4000,1,https://stackoverflow.com/questions/41406501/is-it-safe-to-read-a-function-pointer-concurrently-without-a-lock
What should be the values of GOPATH and GOROOT?,427,25,535000,131,https://stackoverflow.com/questions/7970390/what-should-be-the-values-of-gopath-and-goroot
How to use custom packages,200,9,190000,52,https://stackoverflow.com/questions/15049903/how-to-use-custom-packages
Initialize nested struct definition,66,3,58000,19,https://stackoverflow.com/questions/26866879/initialize-nested-struct-definition
Relative imports in Go,61,6,84000,35,https://stackoverflow.com/questions/38517593/relative-imports-in-go
How can I convert string to integer in golang,17,8,47000,17,https://stackoverflow.com/questions/31487694/how-can-i-convert-string-to-integer-in-golang
My structures are not marshalling into json [duplicate],17,3,2000,0,https://stackoverflow.com/questions/15452004/my-structures-are-not-marshalling-into-json
Cannot free memory once occupied by bytes.Buffer,11,2,18000,7,https://stackoverflow.com/questions/37382600/cannot-free-memory-once-occupied-by-bytes-buffer
Does Go compiler's evaluation differ for constant expression and other expression,7,1,1000,0,https://stackoverflow.com/questions/39444852/does-go-compilers-evaluation-differ-for-constant-expression-and-other-expressio
How to check if a map contains a key in Go?,1257,11,1200000,253,https://stackoverflow.com/questions/2050391/how-to-check-if-a-map-contains-a-key-in-go
How to convert an int value to string in Go?,717,10,622000,158,https://stackoverflow.com/questions/10105935/how-to-convert-an-int-value-to-string-in-go
How to generate a random string of a fixed length in Go?,444,18,345000,108,https://stackoverflow.com/questions/22892120/how-to-generate-a-random-string-of-a-fixed-length-in-go
Converting Go struct to JSON,286,5,396000,97,https://stackoverflow.com/questions/8270816/converting-go-struct-to-json
Call Go functions from C,159,4,53000,12,https://stackoverflow.com/questions/6125683/call-go-functions-from-c
"Why do I get a ""cannot assign"" error when setting value to a struct as a value in a map? [duplicate]",119,2,82000,30,https://stackoverflow.com/questions/32751537/why-do-i-get-a-cannot-assign-error-when-setting-value-to-a-struct-as-a-value-i
Why do I need to use http.StripPrefix to access my static files?,50,4,26000,8,https://stackoverflow.com/questions/27945310/why-do-i-need-to-use-http-stripprefix-to-access-my-static-files
(un)marshalling json golang not working,31,3,23000,7,https://stackoverflow.com/questions/25595096/unmarshalling-json-golang-not-working
"Taking a JSON string, unmarshaling it into a map[string]interface{}, editing, and marshaling it into a []byte seems more complicated than it should be",10,3,6000,2,https://stackoverflow.com/questions/28877512/taking-a-json-string-unmarshaling-it-into-a-mapstringinterface-editing-an
How to efficiently concatenate strings in go,928,19,622000,129,https://stackoverflow.com/questions/1760757/how-to-efficiently-concatenate-strings-in-go
Declare a constant array,243,5,250000,67,https://stackoverflow.com/questions/13137463/declare-a-constant-array
Mock functions in Go,185,8,162000,47,https://stackoverflow.com/questions/19167970/mock-functions-in-go
"""<type> is pointer to interface, not interface"" confusion",184,2,97000,47,https://stackoverflow.com/questions/44370277/type-is-pointer-to-interface-not-interface-confusion
Is this casting in golang?,129,1,89000,32,https://stackoverflow.com/questions/31379404/is-this-casting-in-golang
Using Pointers in a for loop,45,2,21000,11,https://stackoverflow.com/questions/48826460/using-pointers-in-a-for-loop
Method Sets (Pointer vs Value Receiver),26,3,8000,3,https://stackoverflow.com/questions/33587227/method-sets-pointer-vs-value-receiver
How does a non initialized channel behave?,8,2,4000,1,https://stackoverflow.com/questions/39015602/how-does-a-non-initialized-channel-behave
How can I store reference to the result of an operation in Go?,7,3,2000,0,https://stackoverflow.com/questions/34197248/how-can-i-store-reference-to-the-result-of-an-operation-in-go
Go embedded struct call child method instead parent method,5,1,2000,0,https://stackoverflow.com/questions/29390736/go-embedded-struct-call-child-method-instead-parent-method
Concatenate two slices in Go,762,9,520000,147,https://stackoverflow.com/questions/16248241/concatenate-two-slices-in-go
Iterate through the fields of a struct in Go,173,8,229000,67,https://stackoverflow.com/questions/18926303/iterate-through-the-fields-of-a-struct-in-go
Golang read request body multiple times [duplicate],95,2,197000,93,https://stackoverflow.com/questions/43021058/golang-read-request-body-multiple-times
Accessing struct fields inside a map value (without copying),48,2,9000,2,https://stackoverflow.com/questions/17438253/accessing-struct-fields-inside-a-map-value-without-copying
Generic Structs with Go,23,1,29000,52,https://stackoverflow.com/questions/68166558/generic-structs-with-go
Idiomatic Type Conversion in Go,10,3,5000,1,https://stackoverflow.com/questions/13367979/idiomatic-type-conversion-in-go
My object is not updated even if I use the pointer to a type to update it,6,3,3000,1,https://stackoverflow.com/questions/43890706/my-object-is-not-updated-even-if-i-use-the-pointer-to-a-type-to-update-it
Printing Empty Json as a result [duplicate],5,1,1000,0,https://stackoverflow.com/questions/38093012/printing-empty-json-as-a-result
How to format current time using a yyyyMMddHHmmss format?,204,6,210000,63,https://stackoverflow.com/questions/20234104/how-to-format-current-time-using-a-yyyymmddhhmmss-format
How to get JSON response from http.Get,190,5,295000,84,https://stackoverflow.com/questions/17156371/how-to-get-json-response-from-http-get
Why can't I assign a *Struct to an *Interface?,162,4,74000,20,https://stackoverflow.com/questions/13511203/why-cant-i-assign-a-struct-to-an-interface
How to break a long line of code in Golang?,146,5,90000,35,https://stackoverflow.com/questions/34846848/how-to-break-a-long-line-of-code-in-golang
Access struct property by name,98,4,122000,35,https://stackoverflow.com/questions/18930910/access-struct-property-by-name
Golang append an item to a slice,89,14,167000,50,https://stackoverflow.com/questions/20195296/golang-append-an-item-to-a-slice
Parsing date/time strings which are not 'standard' formats,78,4,54000,14,https://stackoverflow.com/questions/14106541/parsing-date-time-strings-which-are-not-standard-formats
Cyclic dependencies and interfaces,42,3,27000,8,https://stackoverflow.com/questions/20380333/cyclic-dependencies-and-interfaces
How to broadcast message using channel,41,6,44000,17,https://stackoverflow.com/questions/36417199/how-to-broadcast-message-using-channel
Close multiple goroutine if an error occurs in one in go,24,3,18000,9,https://stackoverflow.com/questions/45500836/close-multiple-goroutine-if-an-error-occurs-in-one-in-go
How to return a value in a Go function that panics?,22,3,9000,3,https://stackoverflow.com/questions/33167282/how-to-return-a-value-in-a-go-function-that-panics
How to use a field of struct or variable value as template name?,13,1,4000,1,https://stackoverflow.com/questions/28830543/how-to-use-a-field-of-struct-or-variable-value-as-template-name
Handling JSON Post Request in Go,315,7,343000,96,https://stackoverflow.com/questions/15672556/handling-json-post-request-in-go
Lowercase JSON key names with JSON Marshal in Go,216,3,59000,15,https://stackoverflow.com/questions/11693865/lowercase-json-key-names-with-json-marshal-in-go
How to do a https request with bad certificate?,198,6,202000,53,https://stackoverflow.com/questions/12122159/how-to-do-a-https-request-with-bad-certificate
"Using reflect, how do you set the value of a struct field?",135,2,125000,29,https://stackoverflow.com/questions/6395076/using-reflect-how-do-you-set-the-value-of-a-struct-field
What is a sensible way to layout a Go project [closed],122,4,43000,11,https://stackoverflow.com/questions/14867452/what-is-a-sensible-way-to-layout-a-go-project
Why can I type alias functions and use them without casting?,118,4,58000,17,https://stackoverflow.com/questions/19334542/why-can-i-type-alias-functions-and-use-them-without-casting
Exec a shell command in Go,115,8,170000,40,https://stackoverflow.com/questions/6182369/exec-a-shell-command-in-go
Negative look-ahead in Go regular expressions,47,3,39000,13,https://stackoverflow.com/questions/26771592/negative-look-ahead-in-go-regular-expressions
How to get memory size of variable in Go?,24,3,28000,13,https://stackoverflow.com/questions/44257522/how-to-get-memory-size-of-variable-in-go
What are some examples of Go interfaces?,7,6,2000,0,https://stackoverflow.com/questions/1734673/what-are-some-examples-of-go-interfaces
How do I SET the GOPATH environment variable on Ubuntu? What file must I edit?,349,28,642000,195,https://stackoverflow.com/questions/21001387/how-do-i-set-the-gopath-environment-variable-on-ubuntu-what-file-must-i-edit
How to read/write from/to a file using Go,345,10,317000,66,https://stackoverflow.com/questions/1821811/how-to-read-write-from-to-a-file-using-go
Multiple goroutines listening on one channel,115,6,99000,27,https://stackoverflow.com/questions/15715605/multiple-goroutines-listening-on-one-channel
"How to fix parsing go.mod module declares its path as ""x"" but was required as ""y""",75,14,63000,63,https://stackoverflow.com/questions/61311436/how-to-fix-parsing-go-mod-module-declares-its-path-as-x-but-was-required-as-y
How to set and get fields in struct's method,67,3,107000,28,https://stackoverflow.com/questions/11810218/how-to-set-and-get-fields-in-structs-method
How to escape back ticks,66,7,34000,10,https://stackoverflow.com/questions/21198980/how-to-escape-back-ticks
How to get the pointer of return value from function call?,59,4,20000,7,https://stackoverflow.com/questions/30744965/how-to-get-the-pointer-of-return-value-from-function-call
Can I concurrently write different slice elements,45,3,14000,8,https://stackoverflow.com/questions/49879322/can-i-concurrently-write-different-slice-elements
Why have arrays in Go?,30,4,6000,2,https://stackoverflow.com/questions/38645175/why-have-arrays-in-go
How to convert uint8 to string,20,5,58000,17,https://stackoverflow.com/questions/19223277/how-to-convert-uint8-to-string
Go and IN clause in Postgres,19,3,12000,5,https://stackoverflow.com/questions/38036752/go-and-in-clause-in-postgres
Why does Go handle closures differently in goroutines?,16,2,5000,1,https://stackoverflow.com/questions/25919213/why-does-go-handle-closures-differently-in-goroutines
Convert UTC string to time object,9,3,29000,12,https://stackoverflow.com/questions/38798043/convert-utc-string-to-time-object
"If Go's interfaces aren't enforced, are they necessary?",4,3,2000,0,https://stackoverflow.com/questions/11054830/if-gos-interfaces-arent-enforced-are-they-necessary
Optional Parameters in Go?,707,15,443000,93,https://stackoverflow.com/questions/2032149/optional-parameters-in-go
How can I read from standard input in the console?,361,12,417000,126,https://stackoverflow.com/questions/20895552/how-can-i-read-from-standard-input-in-the-console
Organizing a multiple-file Go project [closed],253,7,156000,39,https://stackoverflow.com/questions/9985559/organizing-a-multiple-file-go-project
"What do three dots ""./..."" mean in Go command line invocations?",189,2,44000,15,https://stackoverflow.com/questions/28031603/what-do-three-dots-mean-in-go-command-line-invocations
