Title,Votes,Answers,Views,Views_per_day,Date,Link 
How to use custom packages,200,9,190000,52,1361693747,https://stackoverflow.com/questions/15049903/how-to-use-custom-packages
Initialize nested struct definition,66,3,58000,19,1415715198,https://stackoverflow.com/questions/26866879/initialize-nested-struct-definition
Relative imports in Go,62,6,85000,35,1469157411,https://stackoverflow.com/questions/38517593/relative-imports-in-go
(un)marshalling json golang not working,31,3,23000,7,1409510404,https://stackoverflow.com/questions/25595096/unmarshalling-json-golang-not-working
How can I convert string to integer in golang,17,8,48000,17,1437192519,https://stackoverflow.com/questions/31487694/how-can-i-convert-string-to-integer-in-golang
My structures are not marshalling into json [duplicate],17,3,2000,0,1363453092,https://stackoverflow.com/questions/15452004/my-structures-are-not-marshalling-into-json
Cannot free memory once occupied by bytes.Buffer,11,2,18000,7,1463977189,https://stackoverflow.com/questions/37382600/cannot-free-memory-once-occupied-by-bytes-buffer
"Taking a JSON string, unmarshaling it into a map[string]interface{}, editing, and marshaling it into a []byte seems more complicated than it should be",10,3,6000,2,1425557154,https://stackoverflow.com/questions/28877512/taking-a-json-string-unmarshaling-it-into-a-mapstringinterface-editing-an
Does Go compiler's evaluation differ for constant expression and other expression,7,1,1000,0,1473663488,https://stackoverflow.com/questions/39444852/does-go-compilers-evaluation-differ-for-constant-expression-and-other-expressio
How to check if a map contains a key in Go?,1260,11,1200000,252,1263313100,https://stackoverflow.com/questions/2050391/how-to-check-if-a-map-contains-a-key-in-go
How to convert an int value to string in Go?,718,10,625000,159,1334147435,https://stackoverflow.com/questions/10105935/how-to-convert-an-int-value-to-string-in-go
How to generate a random string of a fixed length in Go?,448,18,347000,108,1396776174,https://stackoverflow.com/questions/22892120/how-to-generate-a-random-string-of-a-fixed-length-in-go
Converting Go struct to JSON,287,5,399000,98,1322232897,https://stackoverflow.com/questions/8270816/converting-go-struct-to-json
Call Go functions from C,160,4,53000,12,1306332132,https://stackoverflow.com/questions/6125683/call-go-functions-from-c
"Why do I get a ""cannot assign"" error when setting value to a struct as a value in a map? [duplicate]",119,2,82000,30,1443054592,https://stackoverflow.com/questions/32751537/why-do-i-get-a-cannot-assign-error-when-setting-value-to-a-struct-as-a-value-i
Why do I need to use http.StripPrefix to access my static files?,50,4,26000,8,1421245819,https://stackoverflow.com/questions/27945310/why-do-i-need-to-use-http-stripprefix-to-access-my-static-files
How to efficiently concatenate strings in go,930,19,623000,129,1258602250,https://stackoverflow.com/questions/1760757/how-to-efficiently-concatenate-strings-in-go
Declare a constant array,244,5,251000,67,1351594407,https://stackoverflow.com/questions/13137463/declare-a-constant-array
Mock functions in Go,186,8,163000,48,1380829660,https://stackoverflow.com/questions/19167970/mock-functions-in-go
"""<type> is pointer to interface, not interface"" confusion",184,2,98000,47,1496669872,https://stackoverflow.com/questions/44370277/type-is-pointer-to-interface-not-interface-confusion
Is this casting in golang?,129,1,90000,32,1436778603,https://stackoverflow.com/questions/31379404/is-this-casting-in-golang
Using Pointers in a for loop,46,2,21000,11,1518782933,https://stackoverflow.com/questions/48826460/using-pointers-in-a-for-loop
Generic Structs with Go,23,1,29000,51,1624896093,https://stackoverflow.com/questions/68166558/generic-structs-with-go
How does a non initialized channel behave?,8,2,4000,1,1471515391,https://stackoverflow.com/questions/39015602/how-does-a-non-initialized-channel-behave
How can I store reference to the result of an operation in Go?,7,3,3000,1,1449737193,https://stackoverflow.com/questions/34197248/how-can-i-store-reference-to-the-result-of-an-operation-in-go
Go embedded struct call child method instead parent method,5,1,2000,0,1427890926,https://stackoverflow.com/questions/29390736/go-embedded-struct-call-child-method-instead-parent-method
Concatenate two slices in Go,763,9,524000,147,1367035721,https://stackoverflow.com/questions/16248241/concatenate-two-slices-in-go
How to get JSON response from http.Get,191,5,296000,84,1371501340,https://stackoverflow.com/questions/17156371/how-to-get-json-response-from-http-get
Access struct property by name,100,5,123000,36,1379754711,https://stackoverflow.com/questions/18930910/access-struct-property-by-name
Golang read request body multiple times [duplicate],95,2,198000,93,1490470591,https://stackoverflow.com/questions/43021058/golang-read-request-body-multiple-times
Accessing struct fields inside a map value (without copying),48,2,9000,2,1372813972,https://stackoverflow.com/questions/17438253/accessing-struct-fields-inside-a-map-value-without-copying
Idiomatic Type Conversion in Go,10,3,5000,1,1352837431,https://stackoverflow.com/questions/13367979/idiomatic-type-conversion-in-go
My object is not updated even if I use the pointer to a type to update it,6,3,3000,1,1494414450,https://stackoverflow.com/questions/43890706/my-object-is-not-updated-even-if-i-use-the-pointer-to-a-type-to-update-it
Printing Empty Json as a result [duplicate],5,1,1000,0,1467185203,https://stackoverflow.com/questions/38093012/printing-empty-json-as-a-result
How to format current time using a yyyyMMddHHmmss format?,205,6,211000,63,1385527528,https://stackoverflow.com/questions/20234104/how-to-format-current-time-using-a-yyyymmddhhmmss-format
Iterate through the fields of a struct in Go,173,8,230000,67,1379713195,https://stackoverflow.com/questions/18926303/iterate-through-the-fields-of-a-struct-in-go
Why can't I assign a *Struct to an *Interface?,162,4,74000,19,1353581750,https://stackoverflow.com/questions/13511203/why-cant-i-assign-a-struct-to-an-interface
Golang append an item to a slice,89,14,167000,50,1385388889,https://stackoverflow.com/questions/20195296/golang-append-an-item-to-a-slice
Parsing date/time strings which are not 'standard' formats,78,4,55000,15,1356993139,https://stackoverflow.com/questions/14106541/parsing-date-time-strings-which-are-not-standard-formats
Cyclic dependencies and interfaces,42,3,27000,8,1386173575,https://stackoverflow.com/questions/20380333/cyclic-dependencies-and-interfaces
How to broadcast message using channel,41,6,44000,17,1459830940,https://stackoverflow.com/questions/36417199/how-to-broadcast-message-using-channel
Method Sets (Pointer vs Value Receiver),26,3,8000,3,1446926958,https://stackoverflow.com/questions/33587227/method-sets-pointer-vs-value-receiver
How to return a value in a Go function that panics?,22,3,9000,3,1444988715,https://stackoverflow.com/questions/33167282/how-to-return-a-value-in-a-go-function-that-panics
How to use a field of struct or variable value as template name?,13,1,4000,1,1425381670,https://stackoverflow.com/questions/28830543/how-to-use-a-field-of-struct-or-variable-value-as-template-name
Handling JSON Post Request in Go,315,7,344000,96,1364433367,https://stackoverflow.com/questions/15672556/handling-json-post-request-in-go
Lowercase JSON key names with JSON Marshal in Go,216,4,59000,15,1343414779,https://stackoverflow.com/questions/11693865/lowercase-json-key-names-with-json-marshal-in-go
How to do a https request with bad certificate?,198,6,203000,53,1345899466,https://stackoverflow.com/questions/12122159/how-to-do-a-https-request-with-bad-certificate
"Using reflect, how do you set the value of a struct field?",135,2,126000,29,1308389045,https://stackoverflow.com/questions/6395076/using-reflect-how-do-you-set-the-value-of-a-struct-field
What is a sensible way to layout a Go project [closed],122,4,43000,11,1360813388,https://stackoverflow.com/questions/14867452/what-is-a-sensible-way-to-layout-a-go-project
Why can I type alias functions and use them without casting?,118,4,58000,17,1381583267,https://stackoverflow.com/questions/19334542/why-can-i-type-alias-functions-and-use-them-without-casting
Type converting slices of interfaces,288,9,154000,41,1349470087,https://stackoverflow.com/questions/12753805/type-converting-slices-of-interfaces
What are the use(s) for struct tags in Go?,567,3,147000,37,1338595827,https://stackoverflow.com/questions/10858787/what-are-the-uses-for-struct-tags-in-go
Pointers vs. values in parameters and return values,488,5,128000,40,1399555301,https://stackoverflow.com/questions/23542989/pointers-vs-values-in-parameters-and-return-values
"json.Marshal(struct) returns ""{}""",171,3,48000,15,1413131652,https://stackoverflow.com/questions/26327391/json-marshalstruct-returns
JSON and dealing with unexported fields,89,2,51000,13,1340220567,https://stackoverflow.com/questions/11126793/json-and-dealing-with-unexported-fields
No output from goroutine,29,3,5000,1,1425972527,https://stackoverflow.com/questions/28958192/no-output-from-goroutine
"Hiding nil values, understanding why Go fails here",61,3,28000,9,1426747332,https://stackoverflow.com/questions/29138591/hiding-nil-values-understanding-why-go-fails-here
"What's the proper way to ""go get"" a private repository?",262,17,248000,84,1418720451,https://stackoverflow.com/questions/27500861/whats-the-proper-way-to-go-get-a-private-repository
Parsing RFC-3339 / ISO-8601 date-time string in Go,242,8,366000,120,1410774467,https://stackoverflow.com/questions/25845172/parsing-rfc-3339-iso-8601-date-time-string-in-go
Multiple values in single-value context,131,6,120000,41,1422576616,https://stackoverflow.com/questions/28227095/multiple-values-in-single-value-context
What's the meaning of interface{}?,168,8,67000,20,1397803163,https://stackoverflow.com/questions/23148812/whats-the-meaning-of-interface
X does not implement Y (... method has a pointer receiver),363,4,120000,53,1480195472,https://stackoverflow.com/questions/40823315/x-does-not-implement-y-method-has-a-pointer-receiver
Are slices passed by value?,111,5,75000,32,1476260106,https://stackoverflow.com/questions/39993688/are-slices-passed-by-value
How do I do a literal *int64 in Go?,181,4,117000,42,1433787698,https://stackoverflow.com/questions/30716354/how-do-i-do-a-literal-int64-in-go
Change values while iterating,193,4,106000,29,1365671943,https://stackoverflow.com/questions/15945030/change-values-while-iterating
How to stop a goroutine,143,8,197000,47,1311519903,https://stackoverflow.com/questions/6807590/how-to-stop-a-goroutine
What does an underscore and interface name after keyword var mean?,105,2,22000,5,1351855501,https://stackoverflow.com/questions/13194272/what-does-an-underscore-and-interface-name-after-keyword-var-mean
How to parse/deserialize dynamic JSON,47,4,39000,13,1427720952,https://stackoverflow.com/questions/29347092/how-to-parse-deserialize-dynamic-json
Is this an idiomatic worker thread pool in Go?,19,2,6000,2,1467555602,https://stackoverflow.com/questions/38170852/is-this-an-idiomatic-worker-thread-pool-in-go
How to use global var across files in a package?,50,3,66000,25,1449729800,https://stackoverflow.com/questions/34195360/how-to-use-global-var-across-files-in-a-package
Format a Go string without printing?,525,8,338000,87,1340209294,https://stackoverflow.com/questions/11123865/format-a-go-string-without-printing
Value receiver vs. pointer receiver,216,3,58000,19,1420444451,https://stackoverflow.com/questions/27775376/value-receiver-vs-pointer-receiver
How to pipe several commands in Go?,97,8,67000,17,1338193560,https://stackoverflow.com/questions/10781516/how-to-pipe-several-commands-in-go
cancel a blocking operation in Go,5,2,4000,1,1422634688,https://stackoverflow.com/questions/28240133/cancel-a-blocking-operation-in-go
