Title,Votes,Answers,Views,Views_per_day,Link 
Should I avoid unwrap in production application?,30,5,7000,3,https://stackoverflow.com/questions/39477684/should-i-avoid-unwrap-in-production-application
Is it possible to split a vector into groups of 10 with iterators?,27,3,19000,9,https://stackoverflow.com/questions/46867355/is-it-possible-to-split-a-vector-into-groups-of-10-with-iterators
What are the actual runtime performance costs of dynamic dispatch?,27,1,9000,3,https://stackoverflow.com/questions/28621980/what-are-the-actual-runtime-performance-costs-of-dynamic-dispatch
Is there a good way to include external resource data into Rust source code?,27,1,6000,1,https://stackoverflow.com/questions/25505275/is-there-a-good-way-to-include-external-resource-data-into-rust-source-code
Rust mpsc::Sender cannot be shared between threads?,26,2,17000,7,https://stackoverflow.com/questions/40384274/rust-mpscsender-cannot-be-shared-between-threads
Is it possible to extend a default method implementation of a trait in a struct?,26,3,15000,5,https://stackoverflow.com/questions/31461902/is-it-possible-to-extend-a-default-method-implementation-of-a-trait-in-a-struct
Use of undeclared type or module `std` when used in a separate module,26,2,30000,9,https://stackoverflow.com/questions/23434378/use-of-undeclared-type-or-module-std-when-used-in-a-separate-module
How can I do a mutable borrow in a for loop?,25,1,23000,9,https://stackoverflow.com/questions/39622783/how-can-i-do-a-mutable-borrow-in-a-for-loop
Can traits be used on enum types?,25,3,25000,15,https://stackoverflow.com/questions/51567350/can-traits-be-used-on-enum-types
"How to tell what ""features"" are available per crate?",24,4,6000,5,https://stackoverflow.com/questions/59761045/how-to-tell-what-features-are-available-per-crate
Performance comparison of a Vec and a boxed slice,24,1,17000,6,https://stackoverflow.com/questions/33704592/performance-comparison-of-a-vec-and-a-boxed-slice
Cannot borrow immutable borrowed content as mutable,23,1,16000,6,https://stackoverflow.com/questions/35005704/cannot-borrow-immutable-borrowed-content-as-mutable
How to idiomatically alias a crate in Rust 2018?,22,2,9000,5,https://stackoverflow.com/questions/50999616/how-to-idiomatically-alias-a-crate-in-rust-2018
How to create and write to memory mapped files?,22,3,12000,4,https://stackoverflow.com/questions/28516996/how-to-create-and-write-to-memory-mapped-files
How do I create a Rust macro with optional parameters using repetitions?,21,1,19000,7,https://stackoverflow.com/questions/34373169/how-do-i-create-a-rust-macro-with-optional-parameters-using-repetitions
How to iterate or map over tuples?,21,2,20000,7,https://stackoverflow.com/questions/29148544/how-to-iterate-or-map-over-tuples
Can't borrow File from &mut self (error msg: cannot move out of borrowed content),20,1,7000,2,https://stackoverflow.com/questions/28034646/cant-borrow-file-from-mut-self-error-msg-cannot-move-out-of-borrowed-content
How can I use the format! macro in a no_std environment?,19,5,9000,5,https://stackoverflow.com/questions/50200268/how-can-i-use-the-format-macro-in-a-no-std-environment
Writing a generic function that takes an iterable container as parameter in Rust,19,1,6000,2,https://stackoverflow.com/questions/35940068/writing-a-generic-function-that-takes-an-iterable-container-as-parameter-in-rust
How do I create a random String by sampling from alphanumeric characters?,19,4,15000,10,https://stackoverflow.com/questions/54275459/how-do-i-create-a-random-string-by-sampling-from-alphanumeric-characters
How can I deserialize an enum when the case doesn't match?,19,3,9000,7,https://stackoverflow.com/questions/59167416/how-can-i-deserialize-an-enum-when-the-case-doesnt-match
What does it mean to instantiate a Rust generic with an underscore?,19,1,5000,2,https://stackoverflow.com/questions/37215739/what-does-it-mean-to-instantiate-a-rust-generic-with-an-underscore
How does Rust's type inference work across multiple statements?,19,1,3000,1,https://stackoverflow.com/questions/37542971/how-does-rusts-type-inference-work-across-multiple-statements
How can I keep a reference to a key after it has been inserted into a HashMap?,18,1,6000,2,https://stackoverflow.com/questions/32401857/how-can-i-keep-a-reference-to-a-key-after-it-has-been-inserted-into-a-hashmap
Downcast traits inside Rc for AST manipulation,18,1,1000,0,https://stackoverflow.com/questions/40024093/downcast-traits-inside-rc-for-ast-manipulation
What does `impl` mean when used as the argument type or return type of a function?,18,2,6000,3,https://stackoverflow.com/questions/48545035/what-does-impl-mean-when-used-as-the-argument-type-or-return-type-of-a-functio
How can I specify linker flags/arguments in a build script?,17,2,16000,9,https://stackoverflow.com/questions/50642574/how-can-i-specify-linker-flags-arguments-in-a-build-script
Is there an elegant solution to modifying a structure while iterating?,17,1,10000,3,https://stackoverflow.com/questions/29322932/is-there-an-elegant-solution-to-modifying-a-structure-while-iterating
No method named `poll` found for a type that implements `Future`,16,1,6000,4,https://stackoverflow.com/questions/57369123/no-method-named-poll-found-for-a-type-that-implements-future
Handling calls to (potentially) far away ahead-of-time compiled functions from JITed code,16,1,1000,0,https://stackoverflow.com/questions/54947302/handling-calls-to-potentially-far-away-ahead-of-time-compiled-functions-from-j
Why do the lifetimes on a trait object passed as an argument require Higher Ranked Trait Bounds but a struct doesn't?,15,1,608,0,https://stackoverflow.com/questions/50946525/why-do-the-lifetimes-on-a-trait-object-passed-as-an-argument-require-higher-rank
How can I store function pointers in an array? [duplicate],15,1,6000,2,https://stackoverflow.com/questions/28151073/how-can-i-store-function-pointers-in-an-array
"Why do I get ""does not live long enough"" in a return value?",14,2,1000,0,https://stackoverflow.com/questions/53586321/why-do-i-get-does-not-live-long-enough-in-a-return-value
How do I unwrap an arbitrary number of nested Option types?,14,3,5000,3,https://stackoverflow.com/questions/52453180/how-do-i-unwrap-an-arbitrary-number-of-nested-option-types
Convert two types into a single type with Serde,14,3,4000,1,https://stackoverflow.com/questions/37870428/convert-two-types-into-a-single-type-with-serde
How to get an Option's value or set it if it's empty?,13,1,10000,5,https://stackoverflow.com/questions/48710302/how-to-get-an-options-value-or-set-it-if-its-empty
Returning iterator of a Vec in a RefCell,12,3,3000,1,https://stackoverflow.com/questions/33541492/returning-iterator-of-a-vec-in-a-refcell
Implement fmt::Display for Vec<T>,11,1,6000,2,https://stackoverflow.com/questions/30633177/implement-fmtdisplay-for-vect
How to avoid code duplication of different structs with semantically equal fields/properties?,11,1,4000,1,https://stackoverflow.com/questions/39429218/how-to-avoid-code-duplication-of-different-structs-with-semantically-equal-field
Cannot use moved BufReader after for loop with bufreader.lines(),11,2,4000,1,https://stackoverflow.com/questions/39935158/cannot-use-moved-bufreader-after-for-loop-with-bufreader-lines
"Is there any way to allocate a standard Rust array directly on the heap, skipping the stack entirely?",11,2,6000,4,https://stackoverflow.com/questions/53691012/is-there-any-way-to-allocate-a-standard-rust-array-directly-on-the-heap-skippin
"How can I solve ""use of moved value"" and ""which does not implement the `Copy` trait""?",11,1,14000,7,https://stackoverflow.com/questions/49309847/how-can-i-solve-use-of-moved-value-and-which-does-not-implement-the-copy-tr
How to embed a Rust macro variable into documentation?,11,2,2000,0,https://stackoverflow.com/questions/43353077/how-to-embed-a-rust-macro-variable-into-documentation
"What does ""Overflow evaluating the requirement"" mean and how can I fix it?",11,2,3000,1,https://stackoverflow.com/questions/31196422/what-does-overflow-evaluating-the-requirement-mean-and-how-can-i-fix-it
Why does Valgrind not detect a memory leak in a Rust program using nightly 1.29.0?,10,1,5000,3,https://stackoverflow.com/questions/51509314/why-does-valgrind-not-detect-a-memory-leak-in-a-rust-program-using-nightly-1-29
How do you copy between arrays of different sizes in Rust?,10,3,11000,3,https://stackoverflow.com/questions/25225346/how-do-you-copy-between-arrays-of-different-sizes-in-rust
"How do I deserialize into trait, not a concrete type?",10,3,4000,1,https://stackoverflow.com/questions/42392935/how-do-i-deserialize-into-trait-not-a-concrete-type
How do I add references to a container when the borrowed values are created after the container?,10,1,469,0,https://stackoverflow.com/questions/44987555/how-do-i-add-references-to-a-container-when-the-borrowed-values-are-created-afte
Rust lifetime error expected concrete lifetime but found bound lifetime,10,1,4000,1,https://stackoverflow.com/questions/24847331/rust-lifetime-error-expected-concrete-lifetime-but-found-bound-lifetime
Converting a char to &str,10,3,10000,5,https://stackoverflow.com/questions/47629596/converting-a-char-to-str
Why can impl trait not be used to return multiple / conditional types?,16,2,5000,3,https://stackoverflow.com/questions/52001592/why-can-impl-trait-not-be-used-to-return-multiple-conditional-types
"What does ""dyn"" mean in a type?",93,3,17000,10,https://stackoverflow.com/questions/50650070/what-does-dyn-mean-in-a-type
Why do I need to import a trait to use the methods it defines for a type?,56,1,14000,4,https://stackoverflow.com/questions/25273816/why-do-i-need-to-import-a-trait-to-use-the-methods-it-defines-for-a-type
Do mutable references have move semantics?,29,1,2000,2,https://stackoverflow.com/questions/62960584/do-mutable-references-have-move-semantics
When is it appropriate to use an associated type versus a generic type?,171,3,23000,8,https://stackoverflow.com/questions/32059370/when-is-it-appropriate-to-use-an-associated-type-versus-a-generic-type
How to write a trait bound for adding two references of a generic type?,17,1,4000,1,https://stackoverflow.com/questions/34630695/how-to-write-a-trait-bound-for-adding-two-references-of-a-generic-type
How do I stop iteration and return an error when Iterator::map returns a Result::Err?,173,4,39000,12,https://stackoverflow.com/questions/26368288/how-do-i-stop-iteration-and-return-an-error-when-iteratormap-returns-a-result
How to get a slice as an array in Rust?,117,7,96000,31,https://stackoverflow.com/questions/25428920/how-to-get-a-slice-as-an-array-in-rust
Should trait bounds be duplicated in struct and impl?,48,3,6000,3,https://stackoverflow.com/questions/49229332/should-trait-bounds-be-duplicated-in-struct-and-impl
Conditionally iterate over one of several possible iterators,29,4,6000,2,https://stackoverflow.com/questions/29760668/conditionally-iterate-over-one-of-several-possible-iterators
Why does linking lifetimes matter only with mutable references?,23,2,2000,0,https://stackoverflow.com/questions/32165917/why-does-linking-lifetimes-matter-only-with-mutable-references
Why is adding a lifetime to a trait with the plus operator (Iterator<Item = &Foo> + 'a) needed?,20,1,2000,0,https://stackoverflow.com/questions/42028470/why-is-adding-a-lifetime-to-a-trait-with-the-plus-operator-iteratoritem-foo
What is the best approach to encapsulate blocking I/O in future-rs?,18,1,8000,3,https://stackoverflow.com/questions/41932137/what-is-the-best-approach-to-encapsulate-blocking-i-o-in-future-rs
Why is my Rust program slower than the equivalent Java program?,15,1,3000,0,https://stackoverflow.com/questions/25255736/why-is-my-rust-program-slower-than-the-equivalent-java-program
Package with both a library and a binary?,347,4,112000,37,https://stackoverflow.com/questions/26946646/package-with-both-a-library-and-a-binary
What is this question mark operator about?,233,4,70000,32,https://stackoverflow.com/questions/42917566/what-is-this-question-mark-operator-about
"When does a closure implement Fn, FnMut and FnOnce?",191,1,46000,16,https://stackoverflow.com/questions/30177395/when-does-a-closure-implement-fn-fnmut-and-fnonce
Returning a closure from a function,55,4,27000,8,https://stackoverflow.com/questions/25445761/returning-a-closure-from-a-function
Is there any way to create a type alias for multiple traits?,44,3,9000,2,https://stackoverflow.com/questions/26070559/is-there-any-way-to-create-a-type-alias-for-multiple-traits
