Title,Votes,Answers,Views,Views_per_day,Date,Link 
limiting the number of checkbox in svelte form using disabled attribute with more than one group of options,0,1,128,0,1656542844,https://stackoverflow.com/questions/72808622/limiting-the-number-of-checkbox-in-svelte-form-using-disabled-attribute-with-mor
Svelte 3 - How to loop each block X amount of times,56,4,27000,22,1570084872,https://stackoverflow.com/questions/58213585/svelte-3-how-to-loop-each-block-x-amount-of-times
Import css in node_modules to svelte,37,7,22000,16,1559845750,https://stackoverflow.com/questions/56483209/import-css-in-node-modules-to-svelte
How to route programmatically in SvelteKit?,34,4,25000,44,1625018897,https://stackoverflow.com/questions/68187584/how-to-route-programmatically-in-sveltekit
How can I manually compile a svelte component down to the final javascript and css that sapper/svelte produces?,24,2,8000,10,1609189141,https://stackoverflow.com/questions/65484019/how-can-i-manually-compile-a-svelte-component-down-to-the-final-javascript-and-c
How do I load an external JS library in Svelte/Sapper?,16,5,20000,18,1578405750,https://stackoverflow.com/questions/59629947/how-do-i-load-an-external-js-library-in-svelte-sapper
How do you import a Svelte component in a Typescript file?,15,2,10000,10,1594057547,https://stackoverflow.com/questions/62761623/how-do-you-import-a-svelte-component-in-a-typescript-file
How to import Firebase only on client in Sapper?,14,4,6000,4,1558892075,https://stackoverflow.com/questions/56315901/how-to-import-firebase-only-on-client-in-sapper
Dynamically loading component using import or fetch,7,1,6000,4,1559582238,https://stackoverflow.com/questions/56431848/dynamically-loading-component-using-import-or-fetch
How to persist svelte store,57,12,20000,15,1559883657,https://stackoverflow.com/questions/56488202/how-to-persist-svelte-store
Cannot access 'variable_name' before initialization,48,1,200000,150,1558918099,https://stackoverflow.com/questions/56318460/cannot-access-variable-name-before-initialization
How to target a component in svelte with css?,33,6,17000,13,1562846476,https://stackoverflow.com/questions/56988717/how-to-target-a-component-in-svelte-with-css
Svelte/Sapper.js - How to initialize store with localStorage data?,20,1,7000,5,1560795267,https://stackoverflow.com/questions/56636764/svelte-sapper-js-how-to-initialize-store-with-localstorage-data
How to do code splitting using Svelte without Sapper,18,2,9000,8,1580632239,https://stackoverflow.com/questions/60024414/how-to-do-code-splitting-using-svelte-without-sapper
